Symbol,EntrezGene ID,Description,Imported ID,Fold Change,P-Value,Test Expression,Control Expression,Rank
Arg1,29221,"arginase, liver",1368266_at,-1.75,1.30E-05,7893.5,13822.6,299
Oprl1,29256,opiate receptor-like 1,1369646_at,1.75,1.50E-05,3005.2,1719.8,299
Timp1,116510,TIMP metallopeptidase inhibitor 1,1367712_at,1.75,7.50E-06,426.4,244,299
Inpp4b,116699,"inositol polyphosphate-4-phosphatase, type II",1369345_at,1.75,0.0002,1949.2,1111.9,299
Tlcd1,287472,TLC domain containing 1,1391559_at,-1.75,1.10E-05,181.8,318,299
Tut1,499314,"terminal uridylyl transferase 1, U6 snRNA-specific",1373708_at,-1.75,3.70E-05,914.9,1597.2,299
AI170671,NA, ,1376724_at,1.75,0.0005,5457.5,3125.4,299
AA955579,NA, ,1376463_at,-1.75,0.0197,2921.5,5106,299
BG378849,NA, ,1383939_at,-1.74,4.30E-05,776.6,1348.3,308
BM387773,NA, ,1391150_at,-1.74,7.30E-06,126.3,220.1,308
Wnt2,114487,wingless-type MMTV integration site family member 2,1393927_at,1.74,1.10E-05,500.7,288.5,308
Ms4a6bl,293749,"membrane-spanning 4-domains, subfamily A, member 6B",1390510_at,1.74,0.0037,246.8,142.1,308
Cntnap2,500105,contactin associated protein-like 2,1390393_at,-1.74,8.80E-07,1338.8,2333.2,308
BI282169,NA, ,1374787_at,-1.73,0.0075,596.6,1030,313
AW526033,NA, ,1377767_at,-1.73,0.0002,3801.6,6587.2,313
Maob,25750,monoamine oxidase B,1368514_at,1.73,1.90E-07,4925.2,2854.1,313
Zfp536,292820,zinc finger protein 536,1385453_at,-1.73,0.0004,260,450.6,313
Ddit3,29467,DNA-damage inducible transcript 3,1369590_a_at,-1.72,4.30E-05,2530.6,4360.6,317
Slc22a3,29504,"solute carrier family 22 (extraneuronal monoamine transporter), member 3",1387189_at,-1.72,0.0048,160.6,277,317
Lgals1,56646,"lectin, galactoside-binding, soluble, 1",1367628_at,1.72,0.0007,427.4,248.3,317
Dtx4,293774,deltex homolog 4 (Drosophila),1373114_at,1.72,0.0025,715.4,415.7,317
Dusp9,293847,dual specificity phosphatase 9,1373340_at,-1.72,2.50E-06,161.7,278.3,317
Efhd2,298609,"EF-hand domain family, member D2",1374388_at,1.72,0.0239,2102,1219.4,317
Unc93b1,361689,unc-93 homolog B1 (C. elegans),1382043_at,1.72,8.20E-06,540.5,314.8,317
Smc2,362519,structural maintenance of chromosomes 2,1393041_at,-1.72,0.0043,862.5,1486.5,317
BI302830,NA, ,1390659_at,1.72,0.0029,229.6,133.2,317
BM391164,NA, ,1373699_at,-1.72,0.0053,177.1,305,317
BG377362,NA, ,1378262_at,1.72,0.001,4662.1,2718.3,317
BE108912,NA, ,1397011_at,1.72,6.60E-05,946.1,549.8,317
BF389269,NA, ,1380489_at,-1.72,0.0001,392.1,673.5,317
LOC100362176,100362176,hypothetical protein LOC100362176,1383757_at,1.72,0.0001,1008,585,317
BF396804,NA, ,1394474_at,-1.71,3.50E-06,287.1,492,331
BF396511,NA, ,1393561_at,-1.71,0.0005,2612.1,4458.5,331
Gabrd,29689,"gamma-aminobutyric acid (GABA) A receptor, delta",1369048_at,-1.71,0.0013,5392.3,9235,331
Mylk,288057,myosin light chain kinase,1371541_at,-1.71,0.0001,969.3,1661.3,331
Dusp16,297682,dual specificity phosphatase 16,1372354_at,-1.71,9.20E-05,344.6,590.9,331
Ap1s2,302671,"adaptor-related protein complex 1, sigma 2 subunit",1398616_at,-1.71,6.40E-06,6809.9,11667.6,331
