Symbol,EntrezGene ID,Description,Imported ID,Fold Change,Meta-qvalue,Rank
ATP1B2,482,"ATPase, Na+/K+ transporting, beta 2 polypeptide",ATP1B2,-36.2078,0.0007,214
RFX4,5992,"regulatory factor X, 4 (influences HLA class II expression)",RFX4,-36.1967,0.0007,215
IL33,90865,interleukin 33,IL33,-36.1666,0.0007,216
SLC1A2,6506,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",SLC1A2,-36.14,0.0007,217
HSDL2,84263,hydroxysteroid dehydrogenase like 2,HSDL2,-36.1387,0.0003,218
QKI,9444,"QKI, KH domain containing, RNA binding",QKI,-36.1349,0.0007,219
EFCAB14,9813,KIAA0494,KIAA0494,-36.107,0.0007,220
SF3A2,8175,"splicing factor 3a, subunit 2, 66kDa",SF3A2,-36.0939,0.0007,221
LPP,4026,LIM domain containing preferred translocation partner in lipoma,LPP,-36.0936,0.0007,222
TOB1,10140,"transducer of ERBB2, 1",TOB1,-36.0052,0.0007,223
MFAP3L,9848,microfibrillar-associated protein 3-like,MFAP3L,-36.0046,0.0007,224
DNAJC4,3338,"DnaJ (Hsp40) homolog, subfamily C, member 4",DNAJC4,-35.9481,0.0007,225
MOSPD3,64598,motile sperm domain containing 3,MOSPD3,-35.9334,0.0003,226
MAP4,4134,microtubule-associated protein 4,MAP4,-35.9319,0.0003,227
ACOX1,51,"acyl-CoA oxidase 1, palmitoyl",ACOX1,-35.8438,0.0007,228
WIF1,11197,WNT inhibitory factor 1,WIF1,-35.8145,0.0007,229
C21orf2,755,chromosome 21 open reading frame 2,C21orf2,-35.768,0.0007,230
ERF,2077,Ets2 repressor factor,ERF,-35.7625,0.0007,231
KLF12,11278,Kruppel-like factor 12,KLF12,-35.7148,0.0008,232
PLEC,5339,plectin,PLEC1,-35.7139,0.0008,233
PRIM2,5558,"primase, DNA, polypeptide 2 (58kDa)",PRIM2,-35.5828,0.0008,234
SMURF2,64750,SMAD specific E3 ubiquitin protein ligase 2,SMURF2,-35.5821,0.0008,235
PDLIM3,27295,PDZ and LIM domain 3,PDLIM3,-35.5532,0.0008,236
PKM,5315,"pyruvate kinase, muscle",PKM2,-35.5276,0.0008,237
ALDH4A1,8659,"aldehyde dehydrogenase 4 family, member A1",ALDH4A1,-35.4957,0.0008,238
