Symbol,Fold Change,P-Value,Rank
POMT1,1.0838,4.38E-21,378
FXYD6,1.0838,1.67E-45,379
IGSF21,1.0837,2.07E-34,380
GABRA5,1.0837,2.19E-26,381
TRHR,1.0836,4.47E-16,382
CLIP3,1.0836,3.90E-49,383
SFRP1,1.0836,5.04E-38,384
TBCB,1.0836,2.30E-64,385
OSBPL5,1.0835,6.21E-139,386
ETFB,1.0835,8.63E-47,387
SLC6A7,1.0835,2.61E-109,388
ATP6AP1,1.0833,1.53E-91,389
NRIP3,1.0833,1.22E-92,390
GAPDH,1.0832,2.05E-37,391
IGFBP3,1.0832,4.51E-156,392
CFL1,1.0832,3.15E-37,393
VDAC2,1.0831,8.51E-208,394
PMEPA1,1.0829,1.54E-70,395
PART1,1.0828,6.99E-129,396
SLC38A1,1.0827,2.46E-75,397
TSHZ3,1.0826,1.29E-58,398
PLCXD3,1.0826,3.45E-24,399
SLC25A5,1.0825,2.54E-128,400
RP11-179A16.1,1.0824,4.72E-32,401
RRAGA,1.0823,5.72E-104,402
UBC,1.0823,2.66E-89,403
AC018359.1,1.0822,1.09E-115,404
BEX5,1.0821,6.69E-92,405
SEC24D,1.0821,6.06E-99,406
PDHB,1.082,2.76E-119,407
GRM4,1.0818,3.35E-159,408
SET,1.0817,1.53E-50,409
CLCN4,1.0817,2.95E-64,410
NEURL1B,1.0814,1.60E-46,411
AKAP13,1.0814,3.43E-41,412
STMN3,1.0814,9.92E-100,413
L1CAM,1.0813,6.07E-113,414
ATP6V0D1,1.0812,4.28E-134,415
PPP2R1A,1.0811,2.82E-69,416
ATP5F1,1.0811,7.74E-149,417
GABARAPL2,1.0809,9.94E-44,418
BZW1,1.0809,3.91E-151,419
ELOVL5,1.0808,2.48E-82,420
HLF,1.0808,7.68E-66,421
RP11-886H22.1,1.0807,1.69E-07,422
RFK,1.0806,7.13E-85,423
HSPH1,1.0805,9.66E-36,424
NR2F1,1.0803,4.11E-54,425
RERG,1.0802,5.01E-76,426
HRH2,1.0799,3.72E-51,427
COL12A1,1.0797,1.78E-52,428
C1QBP,1.0796,3.89E-167,429
RP5-1189D6.2,1.0795,8.79E-16,430
TMEM9B,1.0794,4.94E-115,431
CALR,1.0794,6.96E-101,432
NDUFA4,1.0794,2.83E-47,433
FAM213A,1.0794,4.92E-90,434
ETV1,1.0793,1.56E-106,435
SPRYD3,1.0793,2.31E-82,436
VAMP2,1.0793,5.34E-29,437
PDYN,1.0792,4.25E-40,438
TMEM196,1.079,3.85E-95,439
FAM131A,1.0789,3.17E-80,440
MCFD2,1.0789,4.07E-66,441
NDRG4,1.0789,1.08E-27,442
CNOT7,1.0788,1.97E-107,443
SLC9A5,1.0787,3.91E-67,444
NIPAL3,1.0786,6.59E-26,445
SLC25A3,1.0785,9.25E-67,446
GMFB,1.0784,1.83E-66,447
SYT7,1.0784,1.87E-58,448
SEMA6D,1.0783,1.30E-12,449
COPS8,1.078,6.69E-148,450
PCYOX1,1.078,4.39E-86,451
FOSL2,1.078,1.54E-103,452
CPNE2,1.078,2.48E-53,453
MATR3,1.0779,2.63E-38,454
IVNS1ABP,1.0778,1.89E-122,455
ACLY,1.0778,3.66E-101,456
COBLL1,1.0778,9.10E-84,457
HTATSF1,1.0778,8.07E-38,458
FAIM2,1.0776,5.64E-77,459
FGF12,1.0776,6.06E-11,460
PCDH19,1.0775,1.39E-41,461
ANXA6,1.0774,7.54E-128,462
CD24,1.0774,3.37E-36,463
MLF2,1.0772,8.11E-113,464
ATP6V1B2,1.0772,2.92E-72,465
PPM1L,1.0771,4.10E-56,466
NEGR1,1.0769,2.39E-12,467
CLMP,1.0769,3.33E-76,468
SLC6A17,1.0769,1.63E-64,469
GRP,1.0769,2.72E-22,470
USP5,1.0768,7.00E-128,471
MEGF8,1.0767,2.80E-70,472
GREM2,1.0767,1.01E-158,473
NAP1L2,1.0766,5.42E-59,474
HNRNPH2,1.0764,1.48E-164,475
HSPD1,1.0763,1.32E-79,476
GALNT2,1.0763,1.43E-91,477
HSP90B1,1.0759,9.75E-22,478
ARHGAP42,1.0759,9.70E-100,479
CMAS,1.0758,6.91E-50,480
PLCH1,1.0757,3.80E-36,481
TMSB4X,1.0757,1.05E-32,482
TMEM9,1.0757,6.18E-112,483
USH2A,1.0757,2.35E-77,484
NAPB,1.0756,1.07E-31,485
CSMD2,1.0756,8.43E-25,486
MYL12B,1.0755,5.00E-118,487
NCAN,1.0755,4.44E-62,488
CYCS,1.0754,1.44E-82,489
INTS7,1.0753,8.27E-117,490
DHCR24,1.0751,9.01E-96,491
KIF21B,1.0751,1.27E-90,492
ATP5G3,1.075,1.82E-85,493
ARPP19,1.0749,6.41E-59,494
ANKRD6,1.0748,8.61E-121,495
TSPYL1,1.0747,3.90E-27,496
NPDC1,1.0747,4.45E-76,497
GADD45G,1.0747,1.94E-06,498
TAC1,1.0747,1.26E-102,499
RP11-354I13.2,1.0747,7.06E-36,500
BNIP3,1.0747,2.14E-91,501
NAMPT,1.0746,3.78E-81,502
LRRC47,1.0746,1.81E-138,503
HEG1,1.0745,5.59E-93,504
TMEM132C,1.0745,1.13E-18,505
EMID1,1.0745,1.02E-96,506
SEZ6,1.0744,9.32E-89,507
HIST1H4C,1.0744,5.71E-63,508
CBX6,1.0741,7.75E-25,509
MKX,1.0739,2.27E-148,510
CTC-304I17.6,1.0739,2.54E-54,511
COL13A1,1.0739,1.06E-193,512
STAMBPL1,1.0739,8.89E-108,513
PNMA1,1.0739,3.03E-78,514
ERLEC1,1.0739,4.64E-50,515
GSAP,1.0738,3.52E-77,516
ARF1,1.0737,6.26E-30,517
ASNS,1.0736,1.04E-147,518
ARPC4,1.0734,5.75E-82,519
SERBP1,1.0734,2.21E-99,520
PSMC5,1.0733,1.51E-131,521
ELAVL4,1.0733,3.98E-64,522
VDAC1,1.0733,2.49E-56,523
RPH3A,1.0731,1.77E-61,524
SEMA3A,1.073,3.37E-47,525
TDRD9,1.073,1.93E-194,526
NFE2L1,1.073,1.54E-28,527
DPYSL5,1.0729,1.55E-66,528
RHOBTB1,1.0729,2.97E-108,529
DRAXIN,1.0729,1.46E-126,530
GNAI1,1.0726,7.03E-66,531
LSM4,1.0725,3.07E-140,532
FANCC,1.0725,4.43E-29,533
APBB1,1.0724,8.05E-87,534
PDHA1,1.0723,1.03E-116,535
AC007092.1,1.0723,2.43E-10,536
PID1,1.0721,2.11E-20,537
B3GLCT,1.072,4.91E-25,538
WDR1,1.0719,9.05E-80,539
TRPC4,1.0719,6.61E-23,540
C4orf32,1.0718,1.01E-105,541
